OP | REF | HYP
DEL | result | ****
SUB | of | salt
OK | his | his
SUB | limp | name
SUB | as | outs
OK | you | you
OK | know | know
INS | **** | who
SUB | from | found
OK | the | the
OK | reading | reading
OK | guide | guide
INS | **** | at
INS | **** | that
INS | **** | tedious
SUB | epictetus | live
SUB | lived | it
SUB | at | pat
OK | the | the
OK | beginning | beginning
SUB | of | ah
SUB | two | to
SUB | millennia | millennium
OK | ago | ago
OK | he | he
INS | **** | made
INS | **** | him
INS | **** | laugh
SUB | lived | leaf
SUB | roughly | rom
SUB | from | did
SUB | 50 | he
OK | to | to
INS | **** | one
SUB | 130 | thirty
OK | in | in
OK | the | the
OK | common | common
SUB | era | ella
OK | he | he
OK | was | was
INS | **** | only
SUB | born | keenan
SUB | in | greek
SUB | greek-speaking | speaking
OK | asia | asia
OK | minor | minor
OK | and | and
INS | **** | was
SUB | spent | that
SUB | his | second
SUB | life | wife
OK | living | living
INS | **** | again
SUB | in | though
OK | the | the
OK | roman | roman
OK | empire | empire
OK | during | during
OK | that | that
OK | era | era
DEL | he | ****
DEL | spent | ****
DEL | the | ****
SUB | early | only
OK | portion | portion
SUB | of | on
OK | his | his
DEL | life | ****
SUB | as | wife
SUB | a | has
OK | slave | slave
SUB | there's | here's
OK | some | some
SUB | dissent | decide
OK | as | as
OK | to | to
OK | whether | whether
DEL | he | ****
DEL | spent | ****
DEL | it | ****
SUB | until | kill
OK | the | the
OK | age | age
OK | of | of
SUB | thirteen | team
OK | or | or
OK | until | until
OK | the | the
OK | age | age
OK | of | of
INS | **** | twenty
SUB | twenty-seven | seven
OK | but | but
OK | in | in
OK | any | any
OK | case | case
OK | a | a
OK | significant | significant
OK | portion | portion
OK | of | of
OK | his | his
OK | life | life
DEL | was | ****
SUB | spent | what's
SUB | in | that
SUB | slavery | beans
SUB | but | bravery
SUB | he | bottom
SUB | eventually | actually
OK | gained | gained
OK | freedom | freedom
DEL | and | ****
SUB | at | mats
SUB | some | o.
OK | point | point
OK | either | either
OK | before | before
OK | or | or
OK | after | after
OK | gaining | gaining
OK | freedom | freedom
OK | he | he
SUB | studied | started
SUB | the | bill
OK | works | works
OK | and | and
OK | philosophical | philosophical
OK | outlook | outlook
SUB | of | all
SUB | a | the
OK | tradition | tradition
OK | known | known
SUB | as | ads
SUB | stoicism | doses
OK | and | and
OK | the | the
OK | works | works
OK | that | that
OK | were | were
OK | produced | produced
INS | **** | aw
INS | **** | and
SUB | on | see
SUB | his | if
SUB | behalf | the
SUB | that | happen
OK | have | have
OK | survived | survived
SUB | are | aren't
SUB | two | you
OK | the | the
OK | first | first
SUB | is | isn't
SUB | a | the
SUB | major | turf
SUB | four | for
OK | volume | volume
OK | collection | collection
SUB | of | ah
SUB | his | but
SUB | discussions | he's
SUB | of | discussions
SUB | a | double
OK | range | range
OK | of | of
OK | topics | topics
INS | **** | question
INS | **** | seeing
INS | **** | medicaid
INS | **** | thinks
SUB | questions | the
SUB | in | widow
SUB | metaphysics | i
SUB | questions | think
OK | about | about
OK | the | the
OK | way | way
OK | the | the
OK | world | world
INS | **** | this
INS | **** | question
SUB | is | vindictive
SUB | questions | to
SUB | in | mala
SUB | epistemology | cheek
OK | how | how
SUB | we | does
SUB | should | that
OK | understand | understand
OK | the | the
OK | world | world
OK | and | and
OK | also | also
OK | questions | questions
OK | in | in
OK | ethics | ethics
OK | and | and
SUB | in | king
OK | addition | addition
OK | to | to
SUB | that | back
SUB | has | i
OK | survived | survived
INS | **** | beats
SUB | the | to
SUB | extraordinary | ordinary
SUB | book | bulk
OK | that | that
OK | we | we
OK | read | read
OK | for | for
OK | today | today
OK | the | the
OK | little | little
INS | **** | forty
INS | **** | five
INS | **** | kappa
SUB | forty-five-epigraph | graf
OK | essay | essay
OK | known | known
OK | as | as
OK | the | the
OK | handbook | handbook
OK | which | which
OK | was | was
DEL | as | ****
DEL | in | ****
SUB | the | so
SUB | case | there's
SUB | of | that
SUB | aristotle | old
SUB | apparently | drooping
OK | recorded | recorded
OK | by | by
OK | one | one
OK | of | of
INS | **** | the
INS | **** | epic
SUB | epictetus's | edi
SUB | students | sis
SUB | and | students
OK | preserved | preserved
SUB | in | you
SUB | that | got
SUB | way | wet
OK | now | now
INS | **** | i
SUB | the | don't
SUB | work | want
OK | that | that
INS | **** | attitude
SUB | epictetus | is
OK | produced | produced
OK | in | in
OK | the | the
OK | context | context
OK | of | of
OK | the | the
OK | handbook | handbook
OK | was | was
OK | enormously | enormously
OK | influential | influential
OK | for | for
OK | most | most
OK | of | of
OK | the | the
OK | two | two
OK | thousand | thousand
OK | years | years
SUB | that | back
SUB | it | to
SUB | has | highs
SUB | been | being
OK | part | part
OK | of | of
OK | the | the
OK | western | western
OK | tradition | tradition
INS | **** | you
INS | **** | think
INS | **** | killer
SUB | in | this
SUB | particular | let
SUB | the | us
SUB | frontispiece | peace
OK | that | that
OK | i | i
OK | used | used
OK | to | to
OK | show | show
OK | you | you
OK | a | a
OK | picture | picture
SUB | of | i
SUB | epictetus | act
SUB | is | easy
SUB | drawn | drop
OK | from | from
OK | the | the
OK | library | library
SUB | of | ah
SUB | none | not
SUB | other | not
SUB | than | there
SUB | john | benjamin
OK | adams | adams
OK | the | the
OK | second | second
OK | president | president
OK | of | of
OK | the | the
DEL | united | ****
SUB | states | units
OK | who | who
SUB | had | have
OK | this | this
OK | book | book
INS | **** | he
INS | **** | he
INS | **** | is
SUB | in | collecting
SUB | his | being
SUB | collection | eighty's
SUB | in | seventeen
SUB | its | fifty
SUB | 1715 | hello
SUB | latin | laughter
OK | edition | edition
OK | wait | wait
SUB | until | till
SUB | the | their
OK | eclipse | eclipse
SUB | passes | i
SUB | another | do
SUB | interesting | think
SUB | thing | you
OK | to | to
OK | know | know
OK | historically | historically
OK | about | about
OK | the | the
OK | volume | volume
OK | that | that
SUB | we're | were
OK | reading | reading
DEL | is | ****
DEL | that | ****
DEL | the | ****
OK | first | first
SUB | english | don't
OK | translation | translation
DEL | of | ****
SUB | it | operate
SUB | was | one
SUB | in | thing
SUB | fact | factor
SUB | done | don
OK | by | by
SUB | a | oh
OK | great | great
OK | eighteenth | eighteenth
OK | century | century
OK | woman | woman
OK | of | of
OK | letters | letters
OK | elizabeth | elizabeth
OK | carter | carter
OK | though | though
OK | the | the
OK | translation | translation
OK | that | that
OK | we're | we're
OK | reading | reading
INS | **** | he
OK | is | is
SUB | a | i'm
OK | more | more
OK | modern | modern
OK | version | version
OK | of | of
SUB | it | that
OK | so | so
INS | **** | uh
SUB | in | yeah
OK | this | this
OK | work | work
SUB | epictetus | every
SUB | takes | kid
SUB | on | don
OK | many | many
DEL | of | ****
SUB | the | all
SUB | tenets | that
SUB | of | connects
SUB | classical | ah
SUB | stoicism | doses
OK | so | so
OK | we've | we've
OK | been | been
OK | introduced | introduced
OK | in | in
OK | this | this
OK | class | class
SUB | so | of
OK | far | far
OK | first | first
OK | to | to
OK | the | the
OK | writings | writings
INS | **** | all
SUB | of | played
SUB | plato | all
OK | who | who
INS | **** | he
OK | is | is
OK | a | a
OK | systematic | systematic
OK | philosopher | philosopher
OK | he | he
OK | has | has
OK | views | views
OK | about | about
OK | everything | everything
OK | and | and
SUB | his | if
OK | commitments | commitments
OK | are | are
OK | to | to
OK | a | a
OK | certain | certain
OK | kind | kind
OK | of | of
INS | **** | nationalist
INS | **** | formal
INS | **** | it's
INS | **** | i
SUB | rationalist | deal
SUB | formalist | with
SUB | idealist | lots
SUB | philosophy | of
OK | and | and
OK | we've | we've
OK | been | been
OK | introduced | introduced
OK | to | to
OK | the | the
OK | works | works
SUB | of | aristotle
SUB | aristotle | to
SUB | through | rule
OK | one | one
INS | **** | bob
SUB | of | please
SUB | his | right
SUB | writings | is
OK | the | the
INS | **** | committee
SUB | nicomachean | and
OK | ethics | ethics
SUB | but | oh
SUB | alongside | i
SUB | those | bonus
SUB | two | to
SUB | traditions | tradition
OK | the | the
SUB | platonic | time
OK | tradition | tradition
SUB | and | in
OK | the | the
SUB | aristotelian | rustic
SUB | tradition | jillian
SUB | the | tradition
OK | ancient | ancient
OK | philosophical | philosophical
OK | world | world
OK | produced | produced
INS | **** | i
INS | **** | know
SUB | a | are
SUB | number | all
SUB | of | the
SUB | other | others
SUB | systematic | to
SUB | philosophical | mac
SUB | outlooks | how
SUB | outlooks | hoops
OK | that | that
OK | had | had
OK | views | views
OK | about | about
OK | almost | almost
OK | any | any
OK | question | question
OK | you | you
OK | could | could
DEL | ask | ****
SUB | and | acts
OK | among | among
OK | those | those
OK | was | was
OK | the | the
OK | view | view
OK | known | known
INS | **** | ads
SUB | as | so
SUB | stoicism | it
SUB | so | says
SUB | stoics | so's
SUB | held | oats
SUB | with | hound
SUB | respect | we've
SUB | to | missed
SUB | the | you
OK | underlying | underlying
INS | **** | medic
SUB | metaphysical | typical
OK | facts | facts
OK | about | about
OK | reality | reality
INS | **** | don't
SUB | that | move
SUB | the | to
SUB | world | he
OK | itself | itself
INS | **** | he
OK | is | is
INS | **** | it
SUB | an | but
OK | organic | organic
OK | physical | physical
INS | **** | toe
INS | **** | talents
SUB | totality | bits
SUB | that's | and
OK | governed | governed
OK | by | by
OK | what | what
OK | they | they
INS | **** | call
SUB | called | the
SUB | logos | locals
SUB | or | we're
OK | divine | divine
INS | **** | these
SUB | reason | things
OK | there | there
INS | **** | he
OK | is | is
SUB | an | on
OK | order | order
SUB | to | shoo
OK | the | the
OK | world | world
SUB | and | that
SUB | that | activists
SUB | the | i
SUB | responsibility | believe
SUB | of | on
OK | human | human
OK | beings | beings
OK | given | given
OK | that | that
SUB | order | he
OK | is | is
SUB | to | tomb
SUB | cultivate | call
SUB | a | today
SUB | particular | you
SUB | kind | look
SUB | of | kind
SUB | virtue | all
OK | virtue | virtue
OK | on | on
SUB | the | this
SUB | stoic | don't
OK | picture | picture
INS | **** | e.
INS | **** | s.
INS | **** | act
INS | **** | think
SUB | is | nina
SUB | acting | a
SUB | in | pool
SUB | accord | art
SUB | with | we've
OK | what | what
SUB | reason | resume
OK | tells | tells
OK | you | you
OK | nature | nature
INS | **** | good
INS | **** | man
INS | **** | eat
INS | **** | ghali
SUB | demands | not
SUB | it's | a
SUB | going | long
SUB | along | wait
SUB | with | the
SUB | this | ace
OK | grand | grand
OK | scheme | scheme
OK | of | of
OK | things | things
SUB | and | i'm
OK | not | not
OK | trying | trying
DEL | to | ****
OK | fight | fight
OK | against | against
OK | what | what
INS | **** | he
OK | is | is
INS | **** | pre
SUB | predivined | divine
OK | for | for
OK | you | you
OK | so | so
OK | it's | it's
SUB | not | that
OK | surprising | surprising
OK | that | that
OK | elements | elements
SUB | of | all
SUB | the | up
SUB | stoic | bestow
OK | tradition | tradition
OK | get | get
SUB | picked | that
SUB | up | ah
SUB | in | being
OK | subsequent | subsequent
INS | **** | do
INS | **** | you
SUB | theistic | think
OK | traditions | traditions
OK | in | in
OK | some | some
OK | ways | ways
OK | the | the
SUB | stoic | skeleton
SUB | view | you
OK | that | that
OK | the | the
OK | world | world
OK | is | is
INS | **** | all
INS | **** | well
SUB | a | ordered
SUB | well-ordered | and
SUB | entity | take
SUB | governed | governor
OK | by | by
OK | divine | divine
OK | reason | reason
SUB | lies | live
SUB | at | act
SUB | the | a
SUB | heart | hard
SUB | of | all
SUB | many | maybe
SUB | of | all
OK | the | the
OK | religious | religious
OK | traditions | traditions
OK | that | that
OK | are | are
OK | familiar | familiar
OK | to | to
OK | you | you
OK | today | today
OK | the | the
OK | question | question
OK | then | then
OK | becomes | becomes
OK | what | what
INS | **** | he
OK | is | is
OK | demanded | demanded
OK | of | of
SUB | you | your
SUB | prescriptively | perspective
OK | what | what
OK | should | should
OK | you | you
OK | do | do
SUB | if | give
OK | these | these
OK | two | two
OK | things | things
OK | are | are
OK | the | the
OK | case | case
SUB | and | i
SUB | what | want
SUB | the | us
SUB | stoics | alex
OK | suggest | suggest
OK | is | is
OK | that | that
OK | you | you
OK | need | need
OK | to | to
DEL | accept | ****
DEL | your | ****
SUB | fate | it's
OK | that | that
SUB | it | he
OK | is | is
OK | the | the
SUB | consequence | consequences
SUB | of | ah
SUB | the | but
OK | power | power
OK | and | and
OK | goodness | goodness
OK | of | of
OK | the | the
INS | **** | local
SUB | logos | us
OK | even | even
OK | though | though
OK | the | the
SUB | ways | week
OK | in | in
OK | which | which
OK | it | it
OK | is | is
OK | good | good
OK | for | for
OK | you | you
SUB | may | maybe
SUB | be | on
SUB | unavailable | available
OK | to | to
OK | you | you
SUB | to | c.
SUB | see | i
SUB | and | am
SUB | that | back
OK | in | in
OK | order | order
OK | to | to
OK | do | do
OK | so | so
OK | you | you
OK | need | need
OK | to | to
OK | moderate | moderate
SUB | your | or
SUB | desires | desirous
OK | you | you
OK | need | need
OK | to | to
OK | avoid | avoid
INS | **** | it
INS | **** | back
SUB | excess | in
SUB | emotion | motion
OK | and | and
SUB | thereby | verified
OK | come | come
OK | to | to
OK | act | act
OK | in | in
INS | **** | the
OK | accord | accord
OK | with | with
SUB | reason | music
OK | so | so
OK | the | the
OK | contemporary | contemporary
SUB | use | you
SUB | of | said
OK | the | the
SUB | term | terms
SUB | stoic | still
OK | one | one
INS | **** | whom
SUB | who | that
SUB | doesn't | eighths
SUB | express | press
SUB | suffering | offering
OK | in | in
OK | the | the
OK | face | face
OK | of | of
DEL | pain | ****
SUB | is | paying
SUB | picking | he
SUB | up | not
OK | on | on
DEL | the | ****
DEL | second | ****
SUB | of | this
SUB | these | and
SUB | prescriptive | all
SUB | aspects | beast
SUB | but | i
SUB | it's | think
SUB | important | going
OK | to | to
OK | recognize | recognize
OK | that | that
INS | **** | how
SUB | as | can
SUB | with | we
OK | all | all
OK | of | of
OK | the | the
OK | philosophers | philosophers
OK | that | that
SUB | we're | we
OK | reading | reading
OK | this | this
OK | is | is
OK | part | part
OK | of | of
OK | a | a
OK | systematic | systematic
INS | **** | world
SUB | worldview | view
OK | the | the
SUB | idea | ag
OK | is | is
OK | not | not
DEL | we | ****
SUB | pick | get
OK | a | a
OK | little | little
OK | bit | bit
OK | here | here
OK | and | and
OK | a | a
OK | little | little
OK | bit | bit
OK | there | there
OK | and | and
OK | we | we
OK | don't | don't
OK | worry | worry
OK | about | about
DEL | how | ****
DEL | they | ****
DEL | go | ****
DEL | together | ****
DEL | the | ****
SUB | idea | yeah
SUB | is | see
SUB | we | if
SUB | have | they
SUB | an | haven't
OK | idea | idea
OK | about | about
OK | the | the
INS | **** | nature
OK | fundamental | fundamental
OK | nature | nature
OK | of | of
OK | reality | reality
SUB | a | of
SUB | view | you
OK | about | about
OK | how | how
OK | we | we
OK | know | know
OK | that | that
OK | and | and
OK | then | then
OK | views | views
OK | about | about
OK | what | what
OK | we | we
OK | ought | ought
OK | to | to
OK | do | do
OK | as | as
OK | a | a
OK | consequence | consequence
OK | now | now
INS | **** | i
INS | **** | see
SUB | epictetus | this
OK | in | in
OK | the | the
OK | handbook | handbook
INS | **** | he
OK | is | is
OK | concerned | concerned
OK | only | only
OK | with | with
OK | a | a
OK | small | small
OK | portion | portion
SUB | of | all
SUB | the | bestow
SUB | stoic | with
SUB | picture | pitcher
OK | he's | he's
SUB | concerned | concert
OK | basically | basically
INS | **** | we
INS | **** | have
SUB | with | a
OK | writing | writing
OK | the | the
OK | very | very
OK | first | first
SUB | self-help | self
OK | manual | manual
OK | he's | he's
OK | trying | trying
OK | to | to
OK | tell | tell
OK | you | you
OK | mr | mr
INS | **** | warden
INS | **** | days
SUB | or | as
SUB | ms | saying
SUB | citizen | all
OK | of | of
OK | ancient | ancient
OK | roman | roman
OK | world | world
OK | in | in
OK | about | about
OK | the | the
OK | year | year
DEL | 100 | ****
OK | what | what
SUB | to | true
SUB | do | joan
OK | if | if
OK | you | you
OK | would | would
OK | like | like
DEL | to | ****
SUB | flourish | and
SUB | and | here
SUB | here's | is
OK | what | what
SUB | he | tells
SUB | tells | you
OK | you | you
OK | need | need
OK | to | to
OK | do | do
OK | you | you
OK | need | need
OK | to | to
SUB | learn | marta
OK | how | how
OK | to | to
INS | **** | wrists
SUB | respond | on
OK | appropriately | appropriately
OK | to | to
OK | experience | experience
SUB | by | i
OK | doing | doing
OK | three | three
OK | things | things
OK | you | you
OK | need | need
OK | to | to
OK | alter | alter
OK | your | your
INS | **** | purse
SUB | perceptions | axes
OK | of | of
OK | the | the
OK | world | world
OK | so | so
OK | that | that
OK | you | you
OK | come | come
OK | to | to
INS | **** | what
SUB | apprehend | apprehended
OK | things | things
OK | in | in
OK | such | such
OK | a | a
OK | way | way
DEL | that | ****
OK | they | they
OK | don't | don't
OK | influence | influence
OK | you | you
INS | **** | harmful
SUB | harmfully | week
SUB | you | we
OK | need | need
OK | to | to
SUB | alter | altered
SUB | your | or
SUB | desires | desirous
OK | with | with
OK | respect | respect
OK | to | to
OK | the | the
OK | world | world
INS | **** | hey
INS | **** | unique
SUB | and | chance
SUB | you | clap
SUB | need | sure
SUB | to | you
SUB | structure | wore
SUB | your | a
SUB | life | white
OK | in | in
OK | such | such
OK | a | a
OK | way | way
DEL | that | ****
SUB | you | she's
OK | stay | stay
SUB | on | in
SUB | the | august
SUB | straight | drake
OK | and | and
DEL | narrow | ****
DEL | you | ****
SUB | need | now
SUB | to | he
SUB | structure | needs
SUB | your | instructor
SUB | social | socially
SUB | relations | oceans
OK | in | in
OK | ways | ways
OK | that | that
OK | will | will
OK | help | help
OK | you | you
DEL | sustain | ****
DEL | your | ****
SUB | commitments | thing
SUB | and | commitment
SUB | in | i
SUB | the | don't
OK | next | next
DEL | slide | ****
SUB | in | strike
SUB | an | a
SUB | attempt | minute
SUB | to | how
SUB | help | can
OK | you | you
OK | read | read
SUB | through | rumour
OK | the | the
SUB | text | tax
SUB | that | how
SUB | we | i
SUB | have | think
SUB | i | it
SUB | suggested | could
OK | ways | ways
SUB | of | all
SUB | putting | bloody
OK | each | each
OK | of | of
INS | **** | this
SUB | the | it
SUB | subpassages | is
SUB | of | ah
OK | the | the
SUB | book | bulk
OK | into | into
OK | one | one
OK | of | of
OK | these | these
OK | categories | categories
OK | so | so
OK | for | for
OK | example | example
OK | when | when
INS | **** | attic
INS | **** | he
SUB | epictetus | does
SUB | tells | how's
SUB | us | that
OK | that | that
OK | we | we
OK | need | need
INS | **** | to
OK | alter | alter
OK | our | our
OK | perception | perception
OK | of | of
OK | the | the
OK | world | world
INS | **** | here
SUB | there | is
SUB | are | that
SUB | three | we
OK | specific | specific
SUB | ways | waves
OK | that | that
OK | he | he
OK | thinks | thinks
OK | we | we
OK | might | might
OK | go | go
OK | about | about
OK | doing | doing
OK | it | it
DEL | three | ****
SUB | components | opponents
OK | to | to
OK | this | this
OK | instruction | instruction
OK | the | the
OK | first | first
OK | is | is
OK | that | that
OK | we | we
OK | need | need
INS | **** | tape
SUB | to | i
SUB | properly | really
SUB | classify | classified
OK | things | things
SUB | into | you
OK | two | two
OK | categories | categories
OK | things | things
OK | over | over
OK | which | which
OK | we | we
OK | have | have
OK | control | control
DEL | and | ****
DEL | we'll | ****
DEL | talk | ****
OK | more | more
OK | about | about
OK | that | that
OK | in | in
OK | a | a
OK | moment | moment
SUB | and | i
SUB | things | think
SUB | over | the
SUB | which | omar
SUB | we | which
OK | don't | don't
OK | have | have
OK | control | control
OK | so | so
OK | we | we
OK | need | need
OK | to | to
SUB | get | jacked
OK | our | our
INS | **** | tax
INS | **** | china
SUB | taxonomy | needs
OK | down | down
OK | we | we
OK | need | need
OK | also | also
DEL | to | ****
OK | anticipate | anticipate
SUB | the | mom
SUB | way | we're
OK | the | the
INS | **** | world's
SUB | world | please
SUB | typically | i'm
SUB | unfolds | forwards
OK | so | so
OK | we | we
SUB | need | do
OK | not | not
SUB | only | don't
SUB | to | you
OK | know | know
OK | what | what
OK | is | is
DEL | up | ****
DEL | to | ****
SUB | us | that
SUB | and | one
OK | what | what
SUB | isn't | is
SUB | up | that
SUB | to | tell
OK | us | us
OK | but | but
SUB | among | i'm
SUB | the | look
OK | things | things
OK | that | that
OK | aren't | aren't
OK | up | up
OK | to | to
OK | us | us
OK | we | we
OK | need | need
SUB | to | says
OK | structure | structure
OK | our | our
OK | expectations | expectations
OK | in | in
OK | such | such
OK | a | a
SUB | way | weight
OK | that | that
OK | we | we
OK | are | are
OK | emotionally | emotionally
OK | prepared | prepared
OK | for | for
OK | what | what
OK | will | will
SUB | befall | the
SUB | us | flawless
OK | and | and
OK | again | again
DEL | i'll | ****
DEL | talk | ****
OK | more | more
OK | about | about
OK | that | that
OK | in | in
DEL | a | ****
SUB | couple | the
SUB | of | couples
SUB | slides | right
SUB | and | yet
OK | we | we
OK | need | need
OK | to | to
OK | recognize | recognize
OK | in | in
OK | some | some
OK | ways | ways
OK | this | this
OK | is | is
OK | a | a
INS | **** | sob
SUB | subpoint | point
OK | of | of
OK | the | the
OK | first | first
OK | the | the
SUB | role | wall
SUB | that | back
OK | judgment | judgment
INS | **** | police
INS | **** | hey
SUB | and | we
SUB | choice | do
SUB | play | turn
SUB | in | the
SUB | determining | name
OK | whether | whether
OK | it | it
INS | **** | be
INS | **** | that
INS | **** | he
OK | is | is
OK | the | the
OK | case | case
OK | that | that
OK | experiences | experiences
SUB | affect | a
SUB | us | fax
OK | so | so
OK | those | those
OK | are | are
DEL | the | ****
OK | three | three
OK | things | things
OK | that | that
INS | **** | at
INS | **** | the
SUB | epictetus | key
SUB | says | defense
OK | we | we
OK | need | need
OK | to | to
OK | do | do
OK | with | with
DEL | respect | ****
DEL | to | ****
DEL | perception | ****
SUB | and | wrists
SUB | again | get
SUB | i'll | out
SUB | give | of
OK | examples | examples
OK | of | of
INS | **** | ot
OK | each | each
OK | of | of
OK | them | them
OK | in | in
OK | a | a
OK | moment | moment
DEL | in | ****
DEL | addition | ****
SUB | we'll | edition
SUB | go | would
SUB | on | lie
OK | to | to
DEL | the | ****
SUB | second | us
OK | thing | thing
OK | that | that
OK | we | we
OK | need | need
OK | to | to
DEL | do | ****
OK | he | he
DEL | tells | ****
DEL | us | ****
SUB | that | don't
OK | we | we
OK | need | need
OK | to | to
INS | **** | carlton
SUB | cultivate | bank
OK | appropriate | appropriate
SUB | desires | drives
OK | we | we
OK | need | need
OK | to | to
OK | get | get
OK | our | our
OK | desires | desires
INS | **** | and
OK | lined | lined
OK | up | up
OK | with | with
OK | the | the
OK | world | world
OK | in | in
OK | such | such
OK | a | a
OK | way | way
OK | that | that
OK | we | we
DEL | aren't | ****
DEL | subject | ****
SUB | repeatedly | arts
SUB | to | operation
SUB | frustration | i
SUB | and | know
SUB | the | we
SUB | way | need
SUB | we | you
SUB | do | this
SUB | this | he
OK | is | is
OK | by | by
DEL | inverting | ****
SUB | the | converting
SUB | standard | and
OK | relation | relation
SUB | between | queen
OK | desire | desire
OK | and | and
OK | the | the
OK | world | world
OK | usually | usually
INS | **** | a
SUB | desires | desirous
SUB | express | graf
OK | a | a
OK | way | way
OK | things | things
SUB | aren't | aunt
SUB | but | what
OK | you | you
OK | wish | wish
OK | they | they
OK | were | were
OK | i | i
OK | desired | desired
INS | **** | for
SUB | firmly | only
OK | yesterday | yesterday
SUB | that | but
SUB | there | they're
OK | not | not
OK | be | be
OK | the | the
DEL | eighth | ****
OK | snow | snow
OK | day | day
OK | in | in
OK | three | three
OK | weeks | weeks
OK | for | for
OK | my | my
OK | children | children
OK | but | but
OK | the | the
OK | world | world
OK | refused | refused
DEL | to | ****
OK | cooperate | cooperate
OK | on | on
SUB | that | back
OK | question | question
INS | **** | hey
INS | **** | if
SUB | had | that
SUB | i | they
SUB | instead | just
SUB | adjusted | did
OK | my | my
OK | desires | desires
DEL | to | ****
OK | the | the
OK | world | world
OK | i | i
SUB | desired | desire
OK | that | that
OK | things | things
OK | go | go
SUB | on | want
OK | exactly | exactly
OK | as | as
INS | **** | well
SUB | logos | those
SUB | predicts | dec
OK | then | then
OK | i | i
OK | would | would
DEL | have | ****
SUB | been | happy
OK | content | content
SUB | with | make
OK | their | their
OK | presence | presence
OK | in | in
OK | my | my
OK | office | office
SUB | the | this
SUB | second | i
SUB | thing | think
OK | that | that
DEL | epictetus | ****
DEL | tells | ****
DEL | us | ****
SUB | we | patents
SUB | can | hume
SUB | do | he
OK | in | in
DEL | strategizing | ****
DEL | how | ****
DEL | to | ****
SUB | cultivate | strategy
SUB | appropriate | i
SUB | desires | think
SUB | is | do
SUB | to | you
SUB | make | this
SUB | use | it's
SUB | of | it's
SUB | this | to
SUB | extraordinary | ordinary
SUB | human | feeling
OK | capacity | capacity
OK | to | to
INS | **** | a
SUB | assimilate | silly
OK | things | things
OK | from | from
OK | one | one
OK | category | category
DEL | to | ****
OK | things | things
OK | from | from
OK | another | another
OK | so | so
DEL | remember | ****
SUB | when | now
OK | i | i
OK | showed | showed
OK | you | you
OK | the | the
DEL | wason | ****
SUB | selection | way
SUB | task | since
SUB | that | election
SUB | funny | task
SUB | thing | anything
SUB | which | we
SUB | had | tag
SUB | an | i
OK | a | a
OK | and | and
SUB | an | a
SUB | f | half
OK | and | and
SUB | a | of
SUB | 4 | four
OK | and | and
OK | a | a
INS | **** | sad
SUB | 7 | end
OK | and | and
SUB | i | a
SUB | asked | half
SUB | which | in
SUB | card | which
SUB | we | cardinal
OK | had | had
OK | to | to
OK | turn | turn
OK | over | over
SUB | to | it
SUB | determine | growing
