OP | REF | HYP
SUB | we'll | all
OK | know | know
SUB | then | than
OK | the | the
OK | volume | volume
OK | of | of
OK | the | the
OK | air | air
OK | into | into
OK | which | which
OK | the | the
OK | pollution | pollution
OK | from | from
OK | my | my
SUB | little | will
OK | power | power
OK | plant | plant
OK | here | here
SUB | has | is
OK | reached | reached
OK | the | the
OK | volume | volume
OK | into | into
OK | which | which
OK | the | the
INS | **** | substance
OK | substance | substance
OK | has | has
OK | mixed | mixed
SUB | is | of
SUB | then | them
SUB | the | a
OK | product | product
OK | of | of
OK | the | the
OK | two | two
OK | horizontal | horizontal
OK | dimensions | dimensions
INS | **** | l
INS | **** | won
SUB | l~1~ | in
SUB | and | l
SUB | l~2~ | to
OK | and | and
OK | the | the
OK | depth | depth
OK | of | of
OK | the | the
OK | layer | layer
OK | that's | that's
OK | the | the
OK | depth | depth
SUB | up | top
SUB | to | of
OK | the | the
SUB | inversion | version
OK | the | the
OK | mass | mass
OK | of | of
OK | the | the
OK | air | air
OK | into | into
SUB | which | words
SUB | the | of
SUB | pollutant | loomed
SUB | has | as
OK | mixed | mixed
OK | is | is
SUB | just | this
OK | the | the
OK | product | product
OK | of | of
OK | the | the
OK | air | air
OK | density | density
OK | and | and
OK | that | that
DEL | volume | ****
DEL | and | ****
SUB | that's | bombing
SUB | going | a
SUB | to | nest
SUB | have | emit
OK | units | units
OK | of | of
SUB | kilograms | children's
OK | so | so
OK | here | here
OK | comes | comes
OK | a | a
OK | very | very
OK | simple | simple
OK | example | example
OK | let's | let's
SUB | that | say
OK | over | over
OK | some | some
OK | period | period
OK | of | of
OK | time | time
OK | we | we
OK | put | put
SUB | in | an
SUB | 40 | fourteen
SUB | metric | met
SUB | tons | jerk
SUB | of | tom's
SUB | a | although
SUB | pollutant | polluted
OK | maybe | maybe
OK | it's | it's
SUB | small | wall
OK | particles | particles
DEL | for | ****
SUB | example | friction
OK | or | or
DEL | a | ****
OK | gas | gas
OK | a | a
INS | **** | mentor
SUB | metric | to
SUB | ton | on
SUB | you | your
OK | recall | recall
OK | is | is
OK | a | a
OK | thousand | thousand
SUB | kilograms | telegram
SUB | so | slumber
SUB | i've | km
SUB | written | that
SUB | that | and
SUB | in | as
SUB | si | i
OK | units | units
OK | as | as
SUB | 40x10^3^ | forty
SUB | kilograms | times
SUB | that's | ten
OK | the | the
INS | **** | three
INS | **** | children's
INS | **** | that's
SUB | amount | a
SUB | of | mater
SUB | pollutant | polluted
OK | we've | we've
SUB | put | what
SUB | in | a
SUB | that's | mess
OK | quite | quite
OK | a | a
OK | bit | bit
OK | but | but
SUB | it | the
OK | depends | depends
OK | on | on
OK | the | the
OK | problem | problem
SUB | we're | were
OK | working | working
DEL | on | ****
SUB | let's | but
OK | say | say
OK | that | that
OK | the | the
INS | **** | hors
SUB | horizontal | i'll
OK | dimensions | dimensions
OK | of | of
OK | the | the
OK | valley | valley
OK | are | are
SUB | 10 | can
OK | kilometers | kilometers
SUB | in | m
OK | one | one
OK | dimension | dimension
INS | **** | ten
SUB | and | kilometers
SUB | 10 | an
SUB | kilometers | z
OK | in | in
OK | the | the
OK | other | other
OK | dimension | dimension
OK | and | and
OK | that | that
OK | the | the
OK | depth | depth
OK | to | to
SUB | the | them
SUB | inversion | version
SUB | is | of
OK | one | one
OK | kilometer | kilometer
INS | **** | shall
SUB | so | that
SUB | then | hobby
OK | the | the
INS | **** | o
INS | **** | i'm
OK | concentration | concentration
OK | of | of
OK | the | the
SUB | pollutant | polluted
OK | is | is
OK | going | going
OK | to | to
OK | be | be
INS | **** | a
OK | the | the
OK | mass | mass
OK | of | of
SUB | the | a
SUB | pollutant | polluted
OK | divided | divided
OK | by | by
OK | the | the
OK | mass | mass
OK | of | of
OK | the | the
SUB | air | error
OK | into | into
OK | which | which
OK | it | it
DEL | has | ****
SUB | mixed | as
SUB | i | mix
SUB | didn't | and
SUB | put | what
OK | that | that
OK | definition | definition
DEL | up | ****
SUB | here | appear
OK | but | but
OK | be | be
OK | sure | sure
OK | you | you
OK | get | get
OK | that | that
OK | in | in
DEL | your | ****
DEL | notes | ****
SUB | we're | out
SUB | defining | fine
SUB | concentration | cost
SUB | in | from
OK | this | this
OK | case | case
OK | as | as
OK | a | a
OK | mass | mass
OK | ratio | ratio
OK | the | the
OK | mass | mass
OK | of | of
INS | **** | polluted
SUB | pollutant | the
SUB | that | give
SUB | you've | were
OK | added | added
OK | to | to
OK | the | the
OK | atmosphere | atmosphere
OK | divided | divided
OK | by | by
OK | the | the
OK | mass | mass
OK | of | of
OK | the | the
OK | air | air
OK | into | into
OK | which | which
OK | it | it
INS | **** | as
INS | **** | good
INS | **** | as
SUB | has | mb
SUB | mixed | x
OK | so | so
OK | here's | here's
OK | the | the
OK | formula | formula
SUB | then | on
OK | there's | there's
SUB | the | a
OK | mass | mass
SUB | of | o
SUB | pollutant | polluted
OK | that | that
OK | we | we
OK | added | added
INS | **** | forty
INS | **** | times
INS | **** | and
SUB | 40x10^3^ | three
SUB | kilograms | children's
OK | and | and
OK | here's | here's
SUB | the | a
OK | mass | mass
OK | of | of
OK | the | the
OK | air | air
OK | into | into
OK | which | which
DEL | it | ****
SUB | mixed | next
SUB | it's | its
OK | the | the
OK | air | air
OK | density | density
INS | **** | while
SUB | multiplied | clyde
OK | times | times
OK | the | the
OK | volume | volume
OK | of | of
OK | the | the
OK | air | air
INS | **** | l
INS | **** | want
SUB | l~1~ | valve
SUB | l~2~ | to
SUB | times | found
SUB | d | day
OK | so | so
OK | it's | it's
SUB | 10 | ten
OK | kilometers | kilometers
SUB | expressed | x
SUB | in | preston
OK | meters | meters
SUB | 10 | and
OK | kilometers | kilometers
OK | again | again
OK | and | and
OK | one | one
OK | kilometer | kilometer
DEL | expressed | ****
SUB | in | to
OK | meters | meters
OK | you | you
OK | work | work
OK | all | all
DEL | that | ****
SUB | out | about
SUB | you | the
SUB | get | its
SUB | 0 | or
SUB | 4x10^-6^ | point
SUB | kilograms | four
SUB | per | trench
SUB | kilogram | tended
SUB | you | the
SUB | could | sex
SUB | cancel | keller
SUB | it | grams
SUB | out | per
SUB | and | telegram
SUB | say | km
SUB | it | cancel
SUB | has | above
SUB | no | salesman
OK | units | units
OK | that's | that's
OK | fine | fine
OK | or | or
OK | you | you
SUB | could | can
OK | leave | leave
OK | it | it
OK | as | as
INS | **** | killer
SUB | kilograms | ranch
SUB | per | for
SUB | kilogram | telegram
OK | just | just
OK | to | to
OK | remind | remind
OK | you | you
OK | what | what
OK | it | it
OK | is | is
DEL | it's | ****
SUB | a | telegram
SUB | kilogram | of
SUB | of | pollution
SUB | pollutant | mb
SUB | mixed | extended
SUB | into | assert
SUB | a | number
SUB | certain | killer
SUB | number | grams
SUB | of | her
SUB | kilograms | all
OK | of | of
OK | the | the
OK | air | air
SUB | into | under
OK | which | which
OK | you | you
SUB | mixed | next
SUB | it | soap
SUB | so | pomp
SUB | since | suns
OK | this | this
OK | is | is
INS | **** | ten
INS | **** | the
INS | **** | minus
SUB | 10^-6^ | six
OK | and | and
OK | it's | it's
OK | a | a
OK | mass | mass
OK | ratio | ratio
OK | i | i
OK | could | could
OK | also | also
OK | write | write
OK | this | this
INS | **** | a
INS | **** | zero
INS | **** | point
INS | **** | four
SUB | as | p
SUB | 0 | p
SUB | 4 | m
SUB | ppmm | ham
OK | parts | parts
OK | per | per
OK | million | million
OK | by | by
OK | mass | mass
DEL | the | ****
OK | per | per
OK | million | million
OK | the | the
INS | **** | p
INS | **** | mb
INS | **** | air
SUB | pm | first
SUB | there | of
SUB | refers | the
SUB | to | time
OK | the | the
INS | **** | minus
SUB | 10^-6^ | x
OK | and | and
OK | the | the
OK | last | last
OK | m | m
OK | there | there
SUB | refers | first
OK | to | to
OK | the | the
OK | fact | fact
OK | that | that
SUB | it's | to
SUB | a | mass
OK | mass | mass
SUB | ratio | ridge
OK | question | question
DEL | yes | ****
DEL | student | ****
DEL | why | ****
DEL | is | ****
DEL | it | ****
DEL | kilograms | ****
DEL | of | ****
SUB | pollutant | depth
SUB | professor | well
SUB | ron | because
SUB | smith | i've
SUB | well | got
SUB | because | hill
OK | i've | i've
OK | got | got
SUB | the | particular
SUB | kilograms | grams
SUB | here | or
SUB | but | particular
SUB | it's | grams
SUB | kilograms | of
SUB | of | polluted
SUB | pollutant | mb
OK | divided | divided
OK | by | by
OK | the | the
INS | **** | killer
SUB | kilograms | grams
OK | of | of
SUB | air | hair
SUB | into | under
OK | which | which
OK | it's | it's
OK | been | been
OK | mixed | mixed
DEL | student | ****
DEL | so | ****
DEL | they | ****
DEL | don't | ****
DEL | cancel | ****
DEL | out | ****
DEL | professor | ****
DEL | ron | ****
DEL | smith | ****
OK | they | they
OK | could | could
DEL | that's | ****
DEL | what | ****
SUB | i | apply
SUB | mentioned | magic
OK | you | you
OK | could | could
SUB | cancel | just
SUB | that | lot
SUB | out | o
OK | i | i
OK | wouldn't | wouldn't
OK | mind | mind
DEL | it | ****
SUB | at | that
OK | all | all
DEL | if | ****
DEL | you | ****
SUB | did | dead
SUB | but | cloud
OK | i | i
OK | sometimes | sometimes
OK | like | like
OK | to | to
OK | keep | keep
OK | it | it
OK | there | there
DEL | just | ****
OK | to | to
OK | remind | remind
OK | myself | myself
OK | of | of
OK | what | what
DEL | that | ****
SUB | definition | the
SUB | is | definitions
OK | either | either
OK | way | way
OK | would | would
OK | be | be
SUB | fine | foam
SUB | it'd | the
SUB | be | beef
OK | perfectly | perfectly
OK | fine | fine
OK | to | to
OK | cancel | cancel
SUB | that | a
SUB | out | nor
SUB | normally | my
OK | concentration | concentration
DEL | is | ****
DEL | considered | ****
SUB | to | third
SUB | be | of
OK | a | a
OK | quantity | quantity
INS | **** | of
SUB | that | has
OK | has | has
OK | no | no
OK | units | units
OK | but | but
OK | sometimes | sometimes
DEL | i | ****
SUB | like | oleg
OK | to | to
OK | keep | keep
DEL | it | ****
DEL | there | ****
SUB | just | their
SUB | as | distance
OK | a | a
OK | reminder | reminder
DEL | yeah | ****
DEL | student | ****
DEL | why | ****
DEL | are | ****
DEL | the | ****
DEL | tens | ****
DEL | raised | ****
DEL | to | ****
DEL | the | ****
DEL | fourth | ****
DEL | power | ****
DEL | oh | ****
DEL | it | ****
DEL | s | ****
DEL | meters | ****
DEL | ok | ****
DEL | professor | ****
DEL | ron | ****
DEL | smith | ****
DEL | where | ****
SUB | are | yacht
SUB | you | we're
OK | looking | looking
DEL | student | ****
DEL | the | ****
DEL | concentration | ****
DEL | calculation | ****
DEL | professor | ****
DEL | ron | ****
DEL | smith | ****
SUB | yeah | depth
SUB | well | law
OK | that's | that's
OK | right | right
OK | so | so
OK | this | this
OK | was | was
SUB | 10 | ten
OK | kilometers | kilometers
SUB | and | in
OK | a | a
DEL | kilometer | ****
SUB | is | kilometers
OK | a | a
DEL | 1 | ****
SUB | 000 | thousand
OK | meters | meters
OK | so | so
OK | the | the
SUB | 10 | ten
OK | times | times
OK | the | the
DEL | 3 | ****
DEL | gives | ****
DEL | 4 | ****
DEL | 10^4^ | ****
DEL | meters | ****
SUB | yeah | three
SUB | student | give
SUB | what | for
SUB | is | and
SUB | l~1~ | forth
SUB | and | meters
SUB | l~2~ | yep
SUB | again | co
SUB | professor | or
SUB | ron | as
SUB | smith | i
SUB | the | on
SUB | horizontal | a
SUB | dimensions | mentions
OK | of | of
OK | the | the
OK | valley | valley
DEL | student | ****
SUB | oh | it
SUB | so | well
OK | the | the
DEL | area | ****
DEL | professor | ****
SUB | ron | product
SUB | smith | is
SUB | well | or
SUB | the | isn't
SUB | product | he
SUB | is | his
OK | the | the
OK | area | area
OK | of | of
OK | the | the
SUB | valley | valve
OK | but | but
OK | the | the
INS | **** | l
SUB | l~1~ | l
SUB | is | one
SUB | the | as
SUB | dimension | a
SUB | in | dimension
SUB | one | c'mon
OK | direction | direction
SUB | l~2~ | l
SUB | is | tours
SUB | the | a
OK | dimension | dimension
DEL | in | ****
OK | the | the
OK | other | other
DEL | direction | ****
DEL | if | ****
DEL | you | ****
SUB | want | for
SUB | to | one
SUB | know | no
OK | the | the
OK | base | base
OK | area | area
OK | of | of
OK | the | the
OK | valley | valley
SUB | that's | it's
SUB | l~1~ | all
SUB | times | one
SUB | l~2~ | consultant
OK | other | other
OK | questions | questions
OK | yes | yes
DEL | student | ****
DEL | where | ****
DEL | did | ****
DEL | you | ****
DEL | get | ****
DEL | 10^3^ | ****
DEL | professor | ****
DEL | ron | ****
DEL | smith | ****
DEL | 10^3^ | ****
DEL | student | ****
DEL | it | ****
DEL | s | ****
DEL | the | ****
SUB | mass | and
OK | of | of
DEL | the | ****
DEL | air | ****
DEL | below | ****
DEL | the | ****
SUB | inversion | a
SUB | professor | fair
SUB | ron | i
SUB | smith | will
OK | well | well
DEL | the | ****
OK | mass | mass
OK | of | of
SUB | the | a
SUB | air | or
OK | below | below
OK | the | the
SUB | inversion | version
OK | is | is
OK | what's | what's
OK | in | in
OK | the | the
SUB | denominator | the
SUB | here | monitor
SUB | it's | its
OK | the | the
OK | density | density
OK | of | of
OK | the | the
OK | air | air
OK | times | times
OK | the | the
OK | volume | volume
OK | of | of
OK | the | the
SUB | air | year
OK | and | and
OK | the | the
SUB | volume | vine
SUB | was | as
OK | given | given
OK | by | by
OK | that | that
OK | product | product
OK | which | which
OK | you | you
OK | see | see
OK | written | written
OK | out | out
OK | here | here
DEL | yeah | ****
DEL | it's | ****
SUB | good | depth
SUB | to | steady
OK | get | get
SUB | this | those
SUB | one | are
OK | really | really
OK | clear | clear
DEL | because | ****
DEL | the | ****
DEL | next | ****
DEL | one | ****
SUB | is | doesn't
SUB | even | actually
SUB | tougher | been
SUB | so | top
SUB | any | are
SUB | other | flux
SUB | questions | another
SUB | on | question
SUB | this | thomas
OK | one | one
DEL | ok | ****
DEL | chapter | ****
DEL | 2 | ****
DEL | mixing | ****
DEL | in | ****
DEL | the | ****
DEL | atmosphere | ****
DEL | unconfined | ****
DEL | mixing | ****
DEL | 00 | ****
DEL | 07 | ****
SUB | 22 | okay
OK | so | so
OK | now | now
OK | we | we
OK | move | move
SUB | to | the
OK | case | case
SUB | two | through
OK | which | which
OK | is | is
INS | **** | on
SUB | unconfined | confided
SUB | mixing | nixon
OK | we | we
OK | don't | don't
OK | have | have
OK | this | this
SUB | predetermined | pre
SUB | valley | determine
SUB | in | valley
SUB | a | and
SUB | nice | bison
SUB | inversion | version
OK | in | in
OK | which | which
OK | we | we
OK | know | know
OK | things | things
OK | are | are
DEL | going | ****
SUB | to | gonna
OK | be | be
OK | trapped | trapped
INS | **** | so
OK | we | we
INS | **** | all
OK | know | know
INS | **** | exactly
INS | **** | on
SUB | how | would
SUB | much | ahmed
SUB | pollutant | couldn't
SUB | we're | were
OK | putting | putting
SUB | in | n
OK | i'm | i'm
OK | going | going
DEL | to | ****
OK | use | use
SUB | the | a
OK | same | same
DEL | value | ****
SUB | as | values
OK | i | i
OK | did | did
OK | here | here
OK | but | but
OK | we | we
OK | don't | don't
OK | know | know
OK | into | into
OK | what | what
OK | volume | volume
OK | will | will
OK | it | it
OK | be | be
SUB | mixed | next
OK | but | but
OK | we're | we're
DEL | going | ****
SUB | to | who
OK | assume | assume
OK | that | that
OK | there's | there's
OK | a | a
OK | certain | certain
DEL | amount | ****
SUB | of | marv
OK | turbulence | turbulence
OK | in | in
OK | this | this
OK | atmosphere | atmosphere
DEL | the | ****
DEL | air | ****
SUB | is | there's
OK | kind | kind
OK | of | of
OK | mixing | mixing
OK | and | and
OK | spinning | spinning
SUB | and | m
SUB | moving | and
SUB | around | home
SUB | a | moving
SUB | little | arrival
SUB | bit | that
OK | and | and
OK | we're | we're
OK | going | going
OK | to | to
SUB | define | find
OK | something | something
OK | called | called
DEL | the | ****
SUB | dispersion | is
SUB | coefficient | persian
SUB | which | co
SUB | will | workers
SUB | help | joy
SUB | us | helpless
OK | decide | decide
OK | how | how
OK | fast | fast
INS | **** | to
OK | that | that
INS | **** | a
OK | added | added
OK | material | material
OK | will | will
OK | diffuse | diffuse
OK | or | or
OK | will | will
INS | **** | does
SUB | disperse | earths
OK | into | into
OK | the | the
OK | atmosphere | atmosphere
DEL | i'll | ****
OK | call | call
SUB | it | a
OK | capital | capital
OK | k | k
OK | and | and
DEL | it | ****
SUB | has | as
OK | units | units
OK | of | of
OK | meters | meters
SUB | squared | where'd
OK | per | per
OK | second | second
SUB | and | can
OK | you | you
OK | can | can
OK | estimate | estimate
OK | a | a
OK | magnitude | magnitude
OK | for | for
OK | that | that
OK | quantity | quantity
INS | **** | whoa
OK | in | in
OK | the | the
SUB | following | fallen
OK | way | way
OK | you | you
OK | can | can
OK | take | take
DEL | a | ****
OK | typical | typical
OK | turbulent | turbulent
OK | velocity | velocity
SUB | let's | but
OK | say | say
DEL | there | ****
SUB | are | their
SUB | eddies | eddie's
OK | in | in
OK | this | this
OK | room | room
OK | that | that
OK | are | are
OK | turning | turning
OK | over | over
DEL | and | ****
SUB | that | annette
OK | air | air
OK | speed | speed
SUB | has | as
OK | a | a
OK | certain | certain
DEL | value | ****
SUB | let's | fellas
SUB | say | are
OK | one | one
OK | meter | meter
OK | per | per
OK | second | second
OK | and | and
SUB | a | the
SUB | typical | o
SUB | eddy | any
OK | size | size
OK | maybe | maybe
DEL | the | ****
SUB | eddies | any
SUB | are | czar
OK | filling | filling
OK | the | the
OK | space | space
OK | between | between
OK | the | the
OK | floor | floor
OK | and | and
OK | the | the
INS | **** | seal
SUB | ceiling | and
OK | that's | that's
OK | about | about
OK | four | four
OK | meters | meters
INS | **** | hot
OK | so | so
OK | if | if
SUB | that | i
OK | were | were
OK | the | the
OK | case | case
SUB | if | of
SUB | the | a
OK | typical | typical
OK | speed | speed
OK | were | were
OK | one | one
OK | meter | meter
OK | per | per
OK | second | second
OK | and | and
OK | the | the
SUB | eddy | any
OK | size | size
DEL | were | ****
SUB | four | for
OK | meters | meters
OK | that | that
OK | would | would
OK | give | give
OK | a | a
INS | **** | dispersed
INS | **** | mb
SUB | dispersion | corporation
SUB | coefficient | of
OK | of | of
SUB | four | for
OK | meters | meters
SUB | squared | square
SUB | per | crust
OK | second | second
DEL | it's | ****
DEL | simply | ****
DEL | that | ****
SUB | product | subdued
SUB | see | upright
SUB | that'll | get
SUB | give | out
SUB | you | given
OK | the | the
OK | right | right
OK | units | units
OK | that | that
SUB | has | s
OK | meters | meters
OK | per | per
OK | second | second
SUB | this | the
SUB | has | says
OK | meters | meters
OK | and | and
OK | so | so
OK | that's | that's
DEL | going | ****
SUB | to | km
OK | give | give
DEL | meters | ****
SUB | squared | meter
SUB | per | square
SUB | second | percent
SUB | when | a
SUB | you | month
SUB | take | that
SUB | that | the
OK | product | product
OK | so | so
OK | this | this
OK | is | is
OK | sometimes | sometimes
OK | very | very
OK | difficult | difficult
OK | to | to
OK | determine | determine
OK | what | what
OK | that | that
INS | **** | this
SUB | dispersion | person
OK | coefficient | coefficient
OK | is | is
DEL | going | ****
SUB | to | gonna
OK | be | be
OK | for | for
DEL | a | ****
OK | particular | particular
DEL | atmospheric | ****
DEL | application | ****
OK | but | but
SUB | you | few
OK | can | can
OK | get | get
OK | a | a
SUB | rough | ross
OK | estimate | estimate
INS | **** | of
OK | if | if
OK | you | you
OK | can | can
OK | estimate | estimate
OK | the | the
OK | size | size
OK | of | of
SUB | the | a
SUB | eddies | eddie's
OK | and | and
OK | the | the
OK | speed | speed
SUB | at | in
OK | which | which
OK | those | those
SUB | eddies | eddie's
OK | are | are
INS | **** | r
OK | turning | turning
OK | over | over
DEL | in | ****
DEL | this | ****
SUB | turbulent | disturbing
OK | atmosphere | atmosphere
OK | let's | let's
DEL | say | ****
SUB | somehow | i
SUB | we | somali
OK | know | know
OK | what | what
OK | that | that
SUB | is | it
SUB | then | that
OK | how | how
OK | fast | fast
OK | will | will
OK | that | that
SUB | mix | mixed
OK | things | things
OK | into | into
OK | the | the
OK | atmosphere | atmosphere
OK | if | if
OK | i | i
OK | have | have
OK | a | a
OK | point | point
OK | source | source
OK | sitting | sitting
OK | on | on
OK | the | the
OK | ground | ground
INS | **** | a
INS | **** | lot
OK | one | one
OK | direction | direction
OK | is | is
OK | as | as
OK | good | good
OK | as | as
OK | any | any
OK | other | other
SUB | direction | directions
SUB | it's | km
SUB | going | x
OK | to | to
SUB | mix | laughed
OK | to | to
OK | the | the
DEL | left | ****
DEL | to | ****
SUB | the | right
SUB | right | hand
SUB | and | opt
SUB | up | on
OK | equally | equally
OK | fast | fast
OK | so | so
OK | it's | it's
DEL | going | ****
SUB | to | garb
OK | produce | produce
OK | a | a
OK | kind | kind
OK | of | of
DEL | hemisphere | ****
SUB | of | atmosphere
SUB | pollutant | polluted
OK | a | a
OK | half | half
OK | sphere | sphere
DEL | that's | ****
OK | growing | growing
OK | in | in
OK | time | time
OK | as | as
SUB | that | a
OK | material | material
INS | **** | diffuse
INS | **** | is
SUB | diffuses | our
SUB | outward | word
OK | and | and
INS | **** | local
INS | **** | word
INS | **** | an
OK | upward | upward
INS | **** | on
OK | and | and
OK | the | the
OK | radius | radius
OK | of | of
OK | that | that
OK | hemisphere | hemisphere
OK | is | is
OK | given | given
OK | by | by
OK | this | this
DEL | formula | ****
SUB | the | one
OK | square | square
OK | root | root
OK | of | of
OK | the | the
SUB | dispersion | persian
OK | coefficient | coefficient
OK | times | times
OK | time | time
OK | so | so
OK | the | the
OK | longer | longer
OK | you | you
OK | wait | wait
OK | the | the
OK | larger | larger
OK | that | that
OK | hemisphere | hemisphere
OK | will | will
OK | be | be
OK | and | and
OK | of | of
OK | course | course
OK | the | the
OK | more | more
SUB | dilute | diluted
SUB | will | we'll
OK | be | be
OK | the | the
INS | **** | blood
SUB | pollutant | mb
OK | because | because
SUB | you've | come
SUB | put | on
OK | a | a
DEL | fixed | ****
DEL | amount | ****
DEL | of | ****
SUB | pollutant | polluted
SUB | in | and
SUB | unless | loss
SUB | you're | are
OK | continuing | continuing
DEL | to | ****
DEL | add | ****
SUB | it | dead
OK | i'm | i'm
OK | assuming | assuming
OK | the | the
OK | problem | problem
DEL | i'm | ****
DEL | going | ****
SUB | to | were
SUB | work | worked
OK | out | out
OK | here | here
DEL | you | ****
OK | put | put
SUB | in | and
OK | just | just
OK | a | a
OK | fixed | fixed
