OP | REF | HYP
SUB | believe | leave
OK | it | it
SUB | now | out
OK | most | most
OK | people | people
SUB | don't | thought
OK | most | most
OK | people | people
DEL | in | ****
DEL | fact | ****
DEL | hold | ****
DEL | a | ****
SUB | different | what
SUB | view | deferred
OK | most | most
OK | people | people
DEL | are | ****
SUB | dualists | our
SUB | now | tulips
SUB | dualism | fabulous
OK | is | is
OK | a | a
OK | very | very
OK | different | different
SUB | doctrine | options
OK | it's | it's
DEL | a | ****
DEL | doctrine | ****
DEL | that | ****
SUB | can | about
SUB | be | brittany
OK | found | found
DEL | in | ****
OK | every | every
OK | religion | religion
DEL | and | ****
OK | in | in
OK | most | most
OK | philosophical | philosophical
OK | systems | systems
SUB | throughout | after
SUB | history | orchestrated
OK | it | it
OK | was | was
OK | very | very
OK | explicit | explicit
OK | in | in
OK | plato | plato
OK | for | for
OK | instance | instance
DEL | but | ****
OK | the | the
OK | most | most
OK | articulate | articulate
OK | and | and
SUB | well-known | well
SUB | defender | known
SUB | of | defender
SUB | dualism | pillows
OK | is | is
SUB | the | a
OK | philosopher | philosopher
SUB | rene | renee
SUB | descartes | picard
OK | and | and
INS | **** | when
SUB | rene | a
SUB | descartes | car
SUB | explicitly | bomb
SUB | asked | explicitly
SUB | a | after
OK | question | question
SUB | are | our
OK | humans | humans
OK | merely | merely
OK | physical | physical
INS | **** | the
SUB | machines | sheets
OK | merely | merely
OK | physical | physical
DEL | things | ****
DEL | and | ****
SUB | he | frank
SUB | answered | the
SUB | no | astronaut
OK | he | he
OK | agreed | agreed
OK | that | that
INS | **** | have
INS | **** | a
SUB | animals | house
SUB | are | army
SUB | machines | cheats
OK | in | in
OK | fact | fact
SUB | he | i
SUB | called | call
OK | them | them
OK | beast | beast
OK | machines | machines
OK | and | and
INS | **** | so
SUB | said | that
SUB | animals | rules
SUB | nonhuman | not
SUB | animals | unanimous
SUB | are | or
OK | merely | merely
OK | robots | robots
OK | but | but
OK | people | people
OK | are | are
OK | different | different
SUB | there's | is
SUB | a | it
SUB | duality | about
SUB | of | the
OK | people | people
SUB | like | white
OK | animals | animals
OK | we | we
OK | possess | possess
SUB | physical | your
SUB | material | body
SUB | bodies | but
SUB | but | on
SUB | unlike | like
OK | animals | animals
OK | what | what
OK | we | we
OK | are | are
OK | is | is
OK | not | not
OK | physical | physical
OK | we | we
SUB | are | our
SUB | immaterial | immature
SUB | souls | of
SUB | that | souls
SUB | possess | possessed
OK | physical | physical
SUB | bodies | bought
OK | that | that
SUB | have | that
SUB | physical | happens
SUB | bodies | winds
SUB | that | the
OK | reside | reside
DEL | in | ****
SUB | physical | invisible
SUB | bodies | ones
OK | that | that
SUB | connect | connects
OK | to | to
OK | physical | physical
DEL | bodies | ****
SUB | so | flights
SUB | this | optimism
OK | is | is
DEL | known | ****
SUB | as | due
SUB | dualism | melissa
OK | because | because
OK | the | the
OK | claim | claim
OK | is | is
DEL | for | ****
DEL | humans | ****
SUB | at | rich
SUB | least | human
SUB | there | said
SUB | are | research
SUB | two | to
OK | separate | separate
SUB | things | fact
OK | there's | there's
SUB | our | a
OK | material | material
OK | bodies | bodies
OK | and | and
INS | **** | as
SUB | there's | a
SUB | our | artie
SUB | immaterial | material
SUB | minds | mind
SUB | now | that
SUB | descartes | a
SUB | made | car
SUB | two | rachel
OK | arguments | arguments
OK | for | for
INS | **** | jewels
SUB | dualism | the
OK | one | one
OK | argument | argument
INS | **** | bob
OK | involved | involved
OK | observations | observations
DEL | of | ****
SUB | a | with
OK | human | human
OK | action | action
DEL | so | ****
SUB | descartes | today
SUB | lived | cognitive
OK | in | in
SUB | a | are
OK | fairly | fairly
OK | sophisticated | sophisticated
SUB | time | hi
SUB | and | it
SUB | his | is
OK | time | time
SUB | did | to
OK | have | have
OK | robots | robots
OK | these | these
OK | were | were
OK | not | not
SUB | electrical | what
OK | robots | robots
OK | of | of
OK | course | course
SUB | they | to
SUB | were | robots
SUB | robots | our
SUB | powered | why
SUB | by | am
SUB | hydraulics | i
SUB | so | drops
SUB | descartes | today
SUB | would | carbon
OK | walk | walk
SUB | around | round
SUB | the | to
OK | french | french
SUB | royal | will
SUB | gardens | bart
OK | and | and
INS | **** | a
SUB | the | friend
SUB | french | who
SUB | royal | will
SUB | gardens | guards
OK | were | were
OK | set | set
OK | up | up
SUB | like | but
SUB | a | vicinity
SUB | seventeenth-century | century
SUB | disneyland | tuesday
SUB | they | one
SUB | had | the
SUB | these | eddie's
OK | characters | characters
OK | that | that
OK | would | would
OK | operate | operate
OK | according | according
OK | to | to
OK | water | water
DEL | flow | ****
OK | and | and
OK | so | so
DEL | if | ****
SUB | you | he
OK | stepped | stepped
OK | on | on
OK | a | a
OK | certain | certain
DEL | panel | ****
DEL | a | ****
DEL | swordsman | ****
SUB | would | level
SUB | jump | the
SUB | out | source
SUB | with | bigfoot
SUB | a | jumped
SUB | sword | up
SUB | if | sore
SUB | you | he
OK | stepped | stepped
OK | somewhere | somewhere
OK | else | else
SUB | a | the
SUB | bathing | the
SUB | beauty | duty
OK | would | would
OK | cover | cover
SUB | herself | shelf
OK | up | up
OK | behind | behind
OK | some | some
OK | bushes | bushes
OK | and | and
INS | **** | it
SUB | descartes | was
SUB | said | set
SUB | boy | white
OK | these | these
OK | machines | machines
OK | respond | respond
OK | in | in
OK | certain | certain
SUB | ways | way
SUB | to | a
OK | certain | certain
OK | actions | actions
OK | so | so
OK | machines | machines
DEL | can | ****
DEL | do | ****
DEL | certain | ****
DEL | things | ****
SUB | and | can't
SUB | in | asserted
SUB | fact | that
SUB | he | that
SUB | says | is
OK | our | our
OK | bodies | bodies
DEL | work | ****
SUB | that | worked
SUB | way | out
SUB | too | wait
SUB | if | till
SUB | you | he
SUB | tap | tapped
OK | somebody | somebody
OK | on | on
DEL | the | ****
SUB | knee | any
OK | your | your
DEL | leg | ****
DEL | will | ****
DEL | jump | ****
SUB | out | bible
OK | well | well
OK | maybe | maybe
OK | that's | that's
SUB | what | all
OK | we | we
OK | are | are
OK | but | but
INS | **** | they
SUB | descartes | carts
SUB | said | a
SUB | that | day
SUB | can't | can
OK | be | be
OK | because | because
DEL | there | ****
SUB | are | surfing
SUB | things | is
SUB | that | a
OK | humans | humans
OK | do | do
SUB | that | and
OK | no | no
OK | machine | machine
OK | could | could
OK | ever | ever
SUB | do | get
OK | humans | humans
OK | are | are
OK | not | not
OK | limited | limited
OK | to | to
SUB | reflexive | reflects
SUB | action | affection
SUB | rather | grabbing
OK | humans | humans
OK | are | are
OK | capable | capable
OK | of | of
OK | coordinated | coordinated
INS | **** | created
SUB | creative | boxing
SUB | spontaneous | fox
SUB | things | eats
OK | we | we
OK | can | can
OK | use | use
OK | language | language
OK | for | for
SUB | instance | us
SUB | and | as
OK | sometimes | sometimes
SUB | my | by
OK | use | use
OK | of | of
OK | language | language
INS | **** | a
SUB | can | candy
SUB | be | reflects
SUB | reflexive | of
SUB | somebody | some
SUB | says | business
OK | how | how
OK | are | are
OK | you | you
DEL | and | ****
DEL | i | ****
SUB | say | as
SUB | i | if
SUB | am | i'm
OK | fine | fine
OK | how | how
OK | are | are
OK | you | you
OK | but | but
OK | sometimes | sometimes
DEL | i | ****
SUB | could | ah
SUB | say | i
SUB | what | guess
SUB | i | a
SUB | choose | way
OK | to | to
SUB | be | study
OK | how | how
DEL | are | ****
DEL | you | ****
SUB | pretty | retreat
SUB | damn | and
OK | good | good
DEL | i | ****
SUB | can | that
SUB | just | is
SUB | choose | shows
SUB | and | in
OK | machines | machines
SUB | descartes | a
SUB | argued | carpet
SUB | are | but
OK | incapable | incapable
OK | of | of
OK | that | that
OK | sort | sort
OK | of | of
OK | choice | choice
OK | hence | hence
OK | we | we
OK | are | are
OK | not | not
INS | **** | here
SUB | mere | the
SUB | machines | sheets
OK | the | the
OK | second | second
OK | argument | argument
SUB | is | as
OK | of | of
OK | course | course
OK | quite | quite
OK | famous | famous
OK | and | and
OK | this | this
OK | was | was
INS | **** | and
SUB | the | that
SUB | method | it
SUB | this | is
OK | he | he
OK | came | came
OK | to | to
INS | **** | use
SUB | using | in
SUB | the | a
OK | method | method
OK | of | of
OK | doubt | doubt
OK | so | so
OK | he | he
OK | started | started
OK | asking | asking
SUB | himself | so
OK | the | the
OK | question | question
OK | what | what
OK | can | can
OK | i | i
OK | be | be
DEL | sure | ****
SUB | of | juror
SUB | and | up
SUB | he | annie
SUB | said | so
OK | well | well
OK | i | i
OK | believe | believe
OK | there's | there's
OK | a | a
SUB | god | thought
OK | but | but
OK | honestly | honestly
OK | i | i
OK | can't | can't
OK | be | be
OK | sure | sure
DEL | there's | ****
SUB | a | it's
SUB | god | about
OK | i | i
OK | believe | believe
OK | i | i
OK | live | live
OK | in | in
OK | a | a
OK | rich | rich
OK | country | country
OK | but | but
OK | maybe | maybe
DEL | i've | ****
SUB | been | i
SUB | fooled | didn't
SUB | he | fool
SUB | even | yes
SUB | said | i
OK | i | i
OK | believe | believe
OK | i | i
OK | have | have
DEL | had | ****
OK | friends | friends
OK | and | and
OK | family | family
OK | but | but
SUB | maybe | navy
OK | i | i
OK | am | am
OK | being | being
DEL | tricked | ****
SUB | maybe | tracked
SUB | an | the
OK | evil | evil
OK | demon | demon
SUB | for | friends
SUB | instance | as
SUB | has | trick
SUB | tricked | asked
SUB | me | to
SUB | has | look
SUB | deluded | at
OK | me | me
OK | into | into
OK | thinking | thinking
OK | i | i
SUB | have | had
OK | experiences | experiences
DEL | that | ****
DEL | aren't | ****
SUB | real | ah
SUB | and | there
SUB | of | are
SUB | course | real
SUB | the | enforced
SUB | modern | mater
OK | version | version
OK | of | of
OK | this | this
OK | is | is
OK | the | the
OK | matrix | matrix
OK | the | the
OK | idea | idea
DEL | of | ****
SUB | the | to
OK | matrix | matrix
DEL | is | ****
OK | explicitly | explicitly
OK | built | built
OK | upon | upon
INS | **** | partition
SUB | cartesian | the
SUB | descartes' | cards
SUB | worries | for
SUB | about | a
SUB | an | seven
OK | evil | evil
OK | demon | demon
OK | maybe | maybe
OK | everything | everything
INS | **** | your
SUB | you're | melts
SUB | now | very
SUB | experiencing | inside
OK | is | is
OK | not | not
OK | real | real
DEL | but | ****
DEL | rather | ****
DEL | is | ****
OK | the | the
SUB | product | rafters
OK | of | of
INS | **** | product
OK | some | some
OK | other | other
OK | perhaps | perhaps
INS | **** | what
SUB | malevolent | they
SUB | creature | carts
SUB | descartes | in
SUB | similarly | which
SUB | could | it
SUB | doubt | could
SUB | he | jody
SUB | has | us
SUB | a | plot
SUB | body | is
SUB | in | like
SUB | fact | that
OK | he | he
OK | noticed | noticed
OK | that | that
SUB | madmen | madman
OK | sometimes | sometimes
DEL | believe | ****
DEL | they | ****
DEL | have | ****
SUB | extra | we
SUB | limbs | get
SUB | or | it
SUB | they | the
SUB | believe | lives
SUB | they're | great
SUB | of | leader
OK | different | different
OK | sizes | sizes
OK | and | and
OK | shapes | shapes
SUB | than | and
SUB | they | a
OK | really | really
OK | are | are
DEL | and | ****
DEL | descartes | ****
DEL | said | ****
DEL | how | ****
SUB | do | oh
OK | i | i
OK | know | know
INS | **** | about
SUB | i'm | grace
SUB | not | i
SUB | crazy | mean
OK | crazy | crazy
OK | people | people
OK | don't | don't
OK | think | think
OK | they're | they're
SUB | crazy | pretty
OK | so | so
DEL | the | ****
DEL | fact | ****
OK | that | that
DEL | i | ****
DEL | don't | ****
DEL | think | ****
DEL | i'm | ****
DEL | crazy | ****
DEL | doesn't | ****
SUB | mean | gothic
SUB | i'm | embraces
SUB | not | and
SUB | crazy | have
SUB | how | operas
SUB | do | no
SUB | i | one
SUB | know | no
SUB | descartes | picard
OK | said | said
OK | i'm | i'm
OK | not | not
DEL | dreaming | ****
SUB | right | really
SUB | now | great
OK | but | but
OK | there | there
OK | is | is
OK | one | one
OK | thing | thing
INS | **** | they
SUB | descartes | caught
OK | concluded | concluded
SUB | that | its
SUB | he | did
SUB | cannot | not
SUB | doubt | go
OK | and | and
DEL | the | ****
DEL | answer | ****
SUB | is | that's
SUB | he | just
SUB | cannot | did
SUB | doubt | not
SUB | that | go
SUB | he | eighty's
SUB | is | and
SUB | himself | sell
SUB | thinking | think
OK | that | that
SUB | would | oneself
SUB | be | or
SUB | self-refuting | feud
SUB | and | as
SUB | so | a
SUB | descartes | fake
SUB | used | argues
OK | the | the
OK | method | method
OK | of | of
SUB | doubt | bell
SUB | to | the
SUB | say | safe
OK | there's | there's
OK | something | something
OK | really | really
OK | different | different
SUB | about | but
OK | having | having
OK | a | a
SUB | body | lot
OK | that's | that's
OK | always | always
SUB | uncertain | insert
OK | from | from
OK | having | having
OK | a | a
DEL | mind | ****
SUB | and | minute
SUB | he | any
SUB | used | uses
SUB | this | are
SUB | argument | given
OK | as | as
OK | a | a
OK | way | way
OK | to | to
OK | support | support
SUB | dualism | clueless
OK | as | as
INS | **** | it
OK | a | a
OK | way | way
OK | to | to
OK | support | support
OK | the | the
OK | idea | idea
DEL | that | ****
OK | bodies | bodies
OK | and | and
OK | minds | minds
OK | are | are
OK | separate | separate
OK | and | and
OK | so | so
DEL | he | ****
OK | concluded | concluded
OK | i | i
OK | knew | knew
OK | that | that
OK | i | i
OK | was | was
SUB | a | the
OK | substance | substance
DEL | the | ****
SUB | whole | of
SUB | essence | lessons
SUB | or | are
OK | nature | nature
DEL | of | ****
OK | which | which
OK | is | is
SUB | to | a
SUB | think | thing
OK | and | and
DEL | that | ****
SUB | for | at
SUB | its | worst
OK | existence | existence
DEL | there | ****
SUB | is | there's
OK | no | no
OK | need | need
OK | of | of
OK | any | any
OK | place | place
OK | nor | nor
OK | does | does
OK | it | it
DEL | depend | ****
SUB | on | and
OK | any | any
DEL | material | ****
SUB | thing | better
SUB | that | real
SUB | is | thing
SUB | to | that's
SUB | say | save
SUB | the | a
OK | soul | soul
OK | by | by
OK | which | which
OK | i | i
OK | am | am
SUB | when | what
OK | i | i
OK | am | am
INS | **** | isn't
SUB | is | higher
SUB | entirely | biggest
SUB | distinct | thing
OK | from | from
SUB | body | baht
SUB | now | yeah
OK | i | i
OK | said | said
OK | before | before
SUB | that | it
SUB | this | is
SUB | is | as
OK | common | common
OK | sense | sense
DEL | and | ****
DEL | i | ****
SUB | want | no
SUB | to | one
OK | illustrate | illustrate
DEL | the | ****
OK | common | common
OK | sense | sense
OK | nature | nature
OK | of | of
OK | this | this
SUB | in | and
SUB | a | if
SUB | few | you
SUB | ways | wait
OK | one | one
OK | thing | thing
OK | is | is
OK | our | our
SUB | dualism | jewel
SUB | is | isn't
SUB | enmeshed | isn't
SUB | in | nash
SUB | our | known
OK | language | language
OK | so | so
OK | we | we
OK | have | have
OK | a | a
OK | certain | certain
DEL | mode | ****
SUB | of | motive
OK | talking | talking
OK | about | about
OK | things | things
SUB | that | and
OK | we | we
DEL | own | ****
SUB | or | all
OK | things | things
DEL | that | ****
OK | are | are
OK | close | close
OK | to | to
OK | us | us
SUB | my | why
SUB | arm | are
OK | my | my
OK | heart | heart
OK | my | my
OK | child | child
OK | my | my
OK | car | car
OK | but | but
OK | we | we
OK | also | also
OK | extend | extend
OK | that | that
SUB | to | trip
OK | my | my
OK | body | body
DEL | and | ****
OK | my | my
OK | brain | brain
DEL | we | ****
OK | talk | talk
OK | about | about
SUB | owning | ollie
SUB | our | or
SUB | brains | break
OK | as | as
OK | if | if
INS | **** | for
SUB | we're | some
SUB | somehow | have
SUB | separate | suffered
OK | from | from
SUB | them | our
SUB | our | goal
SUB | dualism | isn't
OK | shows | shows
OK | up | up
DEL | in | ****
SUB | intuitions | into
SUB | about | which
SUB | personal | you
SUB | identity | spoke
SUB | and | persuaded
OK | what | what
OK | this | this
OK | means | means
OK | is | is
OK | that | that
OK | common | common
OK | sense | sense
OK | tells | tells
OK | us | us
OK | that | that
OK | somebody | somebody
OK | can | can
OK | be | be
OK | the | the
OK | same | same
OK | person | person
OK | even | even
DEL | if | ****
SUB | their | other
OK | body | body
SUB | undergoes | under
SUB | radical | those
SUB | and | rattle
SUB | profound | found
OK | changes | changes
INS | **** | bob
OK | the | the
OK | best | best
OK | examples | examples
OK | of | of
OK | this | this
SUB | are | our
OK | fictional | fictional
OK | so | so
OK | we | we
OK | have | have
INS | **** | no
INS | **** | wonder
OK | no | no
OK | problem | problem
OK | understanding | understanding
SUB | a | the
OK | movie | movie
SUB | where | we're
OK | somebody | somebody
SUB | goes | go
OK | to | to
OK | sleep | sleep
OK | as | as
OK | a | a
OK | teenager | teenager
SUB | and | in
OK | wakes | wakes
OK | up | up
SUB | as | garner
SUB | jennifer | small
SUB | garner | person
SUB | as | crap
SUB | an | and
SUB | older | only
SUB | person | was
SUB | now | it
OK | nobody | nobody
OK | says | says
INS | **** | all
SUB | oh | of
SUB | that's | that
SUB | a | document
SUB | documentary | and
OK | i | i
OK | believe | believe
OK | that | that
DEL | thoroughly | ****
DEL | true | ****
SUB | but | there
SUB | at | are
SUB | the | true
OK | same | same
OK | time | time
SUB | nobody | no
SUB | no | let
SUB | adult | him
SUB | no | know
SUB | teenager | have
OK | no | no
SUB | child | teenager
SUB | ever | note
SUB | leaves | however
SUB | and | pieces
SUB | says | and
SUB | i'm | we
SUB | totally | can
SUB | conceptually | safely
SUB | confused | compete
OK | rather | rather
OK | we | we
INS | **** | follow
INS | **** | follow
OK | follow | follow
OK | the | the
OK | story | story
OK | we | we
OK | can | can
OK | also | also
SUB | follow | followed
OK | stories | stories
OK | which | which
SUB | involve | involved
SUB | more | worker
SUB | profound | found
SUB | transformations | transformation
OK | as | as
OK | when | when
OK | a | a
OK | man | man
OK | dies | dies
OK | and | and
OK | is | is
OK | reborn | reborn
DEL | into | ****
DEL | the | ****
DEL | body | ****
DEL | of | ****
DEL | a | ****
SUB | child | while
OK | now | now
OK | you | you
OK | might | might
OK | have | have
OK | different | different
OK | views | views
DEL | around | ****
DEL | people | ****
DEL | around | ****
DEL | this | ****
SUB | room | are
SUB | will | radical
SUB | have | renders
SUB | different | the
SUB | views | what'd
SUB | as | so
SUB | to | with
SUB | whether | every
SUB | reincarnation | inclination
SUB | really | believe
SUB | exists | it
OK | but | but
OK | we | we
OK | can | can
OK | imagine | imagine
OK | it | it
DEL | we | ****
SUB | could | would
OK | imagine | imagine
OK | a | a
OK | person | person
OK | dying | dying
OK | and | and
DEL | then | ****
SUB | reemerging | we
SUB | in | averted
OK | another | another
OK | body | body
OK | this | this
OK | is | is
OK | not | not
OK | hollywood | hollywood
OK | invention | invention
DEL | one | ****
SUB | of | when
OK | the | the
OK | great | great
OK | short | short
OK | stories | stories
OK | of | of
DEL | the | ****
OK | last | last
OK | century | century
OK | begins | begins
DEL | with | ****
DEL | a | ****
DEL | sentence | ****
SUB | by | like
SUB | franz | hot
SUB | kafka | spot
OK | as | as
SUB | gregor | greater
SUB | samsa | sense
SUB | woke | awoke
OK | one | one
OK | morning | morning
OK | from | from
OK | uneasy | uneasy
DEL | dreams | ****
DEL | he | ****
DEL | found | ****
SUB | himself | to
SUB | transformed | defects
SUB | in | of
SUB | his | france
SUB | bed | for
SUB | into | been
SUB | a | despair
SUB | gigantic | and
SUB | insect | again
SUB | and | how
SUB | again | to
SUB | kafka | end
OK | invites | invites
OK | us | us
OK | to | to
OK | imagine | imagine
OK | waking | waking
OK | up | up
OK | into | into
OK | a | a
DEL | body | ****
SUB | of | barring
OK | a | a
SUB | cockroach | o'clock
OK | and | and
OK | we | we
OK | can | can
OK | this | this
OK | is | is
DEL | also | ****
SUB | not | awesome
SUB | modern | mater
OK | hundreds | hundreds
OK | of | of
OK | years | years
SUB | before | for
OK | the | the
OK | birth | birth
OK | of | of
OK | christ | christ
OK | homer | homer
SUB | described | describe
OK | the | the
OK | fate | fate
OK | of | of
OK | the | the
OK | companions | companions
INS | **** | a
INS | **** | vote
SUB | of | is
SUB | odysseus | yes
OK | who | who
OK | were | were
OK | transformed | transformed
OK | by | by
OK | a | a
OK | witch | witch
DEL | into | ****
SUB | pigs | indicates
SUB | actually | that
SUB | that's | has
OK | not | not
OK | quite | quite
OK | right | right
OK | she | she
OK | didn't | didn't
DEL | turn | ****
DEL | them | ****
DEL | into | ****
SUB | pigs | terminated
SUB | she | which
SUB | did | is
OK | something | something
OK | worse | worse
OK | she | she
SUB | stuck | stopped
OK | them | them
OK | in | in
OK | the | the
OK | bodies | bodies
OK | of | of
DEL | pigs | ****
DEL | they | ****
DEL | had | ****
DEL | the | ****
SUB | head | hate
SUB | and | that
OK | voice | voice
SUB | and | in
SUB | bristles | brussels
SUB | and | embodied
SUB | body | one
OK | of | of
DEL | swine | ****
DEL | but | ****
OK | their | their
DEL | minds | ****
DEL | remained | ****
DEL | unchanged | ****
SUB | as | mind
SUB | before | reader
OK | so | so
OK | they | they
OK | were | were
DEL | penned | ****
SUB | there | candor
OK | weeping | weeping
OK | and | and
OK | we | we
OK | are | are
OK | invited | invited
OK | to | to
OK | imagine | imagine
SUB | the | a
OK | fate | fate
SUB | of | that
SUB | again | began
SUB | finding | firing
SUB | ourselves | herself
OK | in | in
OK | the | the
OK | bodies | bodies
OK | of | of
OK | other | other
OK | creatures | creatures
DEL | and | ****
DEL | if | ****
DEL | you | ****
SUB | can | any
SUB | imagine | given
SUB | this | that
SUB | this | genesis
OK | is | is
OK | because | because
OK | you | you
SUB | are | were
SUB | imagining | mentioning
SUB | what | white
OK | you | you
OK | are | are
SUB | as | this
SUB | separate | effort
OK | from | from
OK | the | the
OK | body | body
DEL | that | ****
SUB | you | the
OK | reside | reside
DEL | in | ****
OK | we | we
OK | allow | allow
OK | for | for
OK | the | the
OK | notion | notion
SUB | that | of
OK | many | many
OK | people | people
SUB | can | cannot
SUB | occupy | buy
OK | one | one
OK | body | body
OK | this | this
OK | is | is
OK | a | a
INS | **** | main
SUB | mainstay | stay
OK | of | of
OK | some | some
INS | **** | slap
SUB | slapstick | stick
OK | humor | humor
OK | including | including
DEL | the | ****
OK | classic | classic
OK | movie | movie
DEL | all | ****
DEL | of | ****
DEL | me | ****
SUB | steve | albeit
SUB | martin | she
SUB | and | marble
SUB | lily | it
SUB | tomlin | i
SUB | highly | recommend
SUB | recommended | it
OK | but | but
OK | many | many
OK | people | people
SUB | think | the
SUB | this | thea
OK | sort | sort
OK | of | of
OK | thing | thing
OK | really | really
SUB | happens | acts
OK | one | one
OK | analysis | analysis
OK | of | of
OK | multiple | multiple
OK | personality | personality
OK | disorder | disorder
DEL | is | ****
SUB | that | he's
SUB | you | a
SUB | have | good
OK | many | many
OK | people | people
OK | inside | inside
OK | a | a
OK | single | single
OK | body | body
OK | fighting | fighting
OK | it | it
OK | out | out
OK | for | for
OK | control | control
OK | now | now
OK | we | we
OK | will | will
OK | discuss | discuss
OK | multiple | multiple
OK | personality | personality
DEL | disorder | ****
DEL | towards | ****
SUB | the | or
SUB | end | for
SUB | of | c.
SUB | the | n.
SUB | semester | a
SUB | and | business
SUB | it | that
OK | turns | turns
SUB | out | up
OK | things | things
OK | are | are
OK | a | a
OK | good | good
OK | deal | deal
OK | more | more
OK | complicated | complicated
DEL | than | ****
DEL | this | ****
OK | but | but
OK | still | still
OK | my | my
OK | point | point
SUB | isn't | is
OK | about | about
OK | how | how
DEL | it | ****
OK | really | really
OK | is | is
DEL | but | ****
OK | how | how
OK | we | we
OK | think | think
OK | about | about
SUB | it | that
OK | common | common
OK | sense | sense
OK | tells | tells
OK | us | us
OK | you | you
OK | could | could
OK | have | have
OK | more | more
OK | than | than
OK | one | one
SUB | person | percent
OK | inside | inside
OK | a | a
OK | single | single
SUB | body | line
SUB | this | it
OK | shows | shows
OK | up | up
OK | in | in
OK | a | a
OK | different | different
OK | context | context
OK | involving | involving
SUB | exorcisms | exercised
SUB | where | we're
SUB | many | maple
SUB | belief | leaves
OK | systems | systems
SUB | allow | awhile
OK | for | for
OK | the | the
OK | idea | idea
OK | that | that
OK | people's | people's
OK | behavior | behavior
INS | **** | to
SUB | particularly | a
SUB | their | very
OK | evil | evil
OK | or | or
SUB | irrational | rational
OK | behavior | behavior
OK | could | could
SUB | be | lead
SUB | because | to
OK | something | something
OK | else | else
OK | has | has
OK | taken | taken
OK | over | over
OK | their | their
OK | bodies | bodies
OK | finally | finally
INS | **** | bob
OK | most | most
OK | people | people
OK | around | around
OK | the | the
OK | world | world
SUB | all | or
OK | religions | religions
OK | and | and
OK | most | most
OK | people | people
OK | in | in
OK | most | most
OK | countries | countries
OK | at | at
OK | most | most
OK | times | times
OK | believe | believe
INS | **** | it
OK | that | that
OK | people | people
OK | can | can
OK | survive | survive
DEL | the | ****
SUB | destruction | obstruction
OK | of | of
OK | their | their
OK | bodies | bodies
INS | **** | among
SUB | now | them
OK | cultures | cultures
OK | differ | differ
OK | according | according
OK | to | to
OK | the | the
OK | fate | fate
OK | of | of
OK | the | the
SUB | body | bottom
OK | some | some
OK | cultures | cultures
OK | have | have
DEL | the | ****
DEL | body | ****
